Time(s)	TLK1(19,54)
 0.0000000e+00	 6.0300000e+02
 1.0005618e+00	 6.0300000e+02
 2.0000894e+00	 6.0300000e+02
 3.0001235e+00	 6.0300000e+02
 4.0000744e+00	 6.0300000e+02
 5.0000405e+00	 6.0300000e+02
 6.0000234e+00	 6.0300000e+02
 7.0002379e+00	 6.0300000e+02
 8.0000887e+00	 6.0300000e+02
 9.0000124e+00	 6.0300000e+02
 1.0000108e+01	 6.0300000e+02
 1.1000061e+01	 6.0299994e+02
 1.2000055e+01	 6.0300000e+02
 1.3000238e+01	 6.0300000e+02
 1.4000112e+01	 6.0300000e+02
 1.5000147e+01	 6.0300000e+02
 1.6000036e+01	 6.0299994e+02
 1.7000031e+01	 6.0299994e+02
 1.8000051e+01	 6.0299994e+02
 1.9000219e+01	 6.0299994e+02
 2.0000223e+01	 6.0299988e+02
 2.1000031e+01	 6.0299988e+02
 2.2000093e+01	 6.0299988e+02
 2.3000038e+01	 6.0299988e+02
 2.4000010e+01	 6.0299982e+02
 2.5000067e+01	 6.0299982e+02
 2.6000111e+01	 6.0299982e+02
 2.7000292e+01	 6.0299982e+02
 2.8000111e+01	 6.0299982e+02
 2.9000072e+01	 6.0299982e+02
 3.0000034e+01	 6.0299982e+02
 3.1000008e+01	 6.0299982e+02
 3.2000217e+01	 6.0299982e+02
 3.3000145e+01	 6.0299982e+02
 3.4000019e+01	 6.0299982e+02
 3.5000225e+01	 6.0299982e+02
 3.6000263e+01	 6.0299982e+02
 3.7000000e+01	 6.0299982e+02
 3.8000050e+01	 6.0299982e+02
 3.9000404e+01	 6.0299982e+02
 4.0000118e+01	 6.0299982e+02
 4.1000126e+01	 6.0299982e+02
 4.2000221e+01	 6.0299988e+02
 4.3000244e+01	 6.0299988e+02
 4.4000210e+01	 6.0299988e+02
 4.5000088e+01	 6.0299988e+02
 4.6000092e+01	 6.0299994e+02
 4.7000141e+01	 6.0299994e+02
 4.8000240e+01	 6.0299994e+02
 4.9000008e+01	 6.0299994e+02
 5.0000221e+01	 6.0300000e+02
 5.1000072e+01	 6.0300000e+02
 5.2000053e+01	 6.0300000e+02
 5.3000069e+01	 6.0300000e+02
 5.4000187e+01	 6.0300006e+02
 5.5000172e+01	 6.0300006e+02
 5.6000126e+01	 6.0300012e+02
 5.7000072e+01	 6.0300012e+02
 5.8000153e+01	 6.0300018e+02
 5.9000050e+01	 6.0300018e+02
 6.0000069e+01	 6.0300018e+02
 6.1000160e+01	 6.0300018e+02
 6.2000050e+01	 6.0300024e+02
 6.3000099e+01	 6.0300024e+02
 6.4000069e+01	 6.0300031e+02
 6.5000206e+01	 6.0300031e+02
 6.6000069e+01	 6.0300037e+02
 6.7000069e+01	 6.0300037e+02
 6.8000008e+01	 6.0300037e+02
 6.9000237e+01	 6.0300043e+02
 7.0000122e+01	 6.0300043e+02
 7.1000031e+01	 6.0300043e+02
 7.2000282e+01	 6.0300043e+02
 7.3000183e+01	 6.0300043e+02
 7.4000183e+01	 6.0300043e+02
 7.5000305e+01	 6.0300043e+02
 7.6000069e+01	 6.0300043e+02
 7.7000076e+01	 6.0300043e+02
 7.8000130e+01	 6.0300043e+02
 7.9000114e+01	 6.0300043e+02
 8.0000267e+01	 6.0300037e+02
 8.1000061e+01	 6.0300037e+02
 8.2000206e+01	 6.0300031e+02
 8.3000099e+01	 6.0300031e+02
 8.4000252e+01	 6.0300024e+02
 8.5000237e+01	 6.0300018e+02
 8.6000008e+01	 6.0300012e+02
